M,C,I,U,R,O,B,M,I,F,R,P,L,I,W,U,D,C,E,I,E
U,O,F,K,D,E,E,Q,Y,R,D,E,T,D,A,A,R,O,A,G,M
I,E,I,N,H,G,R,S,I,V,E,K,A,R,R,R,R,A,S,P,A
F,N,W,N,D,A,L,I,W,L,R,A,T,A,E,S,A,P,X,A,O
H,F,O,E,A,T,I,W,E,T,A,N,O,L,Y,A,M,U,I,M,D
E,I,A,O,N,Z,N,D,S,T,C,L,T,E,Y,A,O,E,E,O,E
I,T,L,N,A,C,I,F,T,L,S,I,E,N,C,A,M,P,N,V,H
A,O,O,U,J,R,O,U,A,O,H,T,U,N,E,O,H,A,C,I,A
S,A,W,R,R,U,R,R,B,E,N,T,O,O,T,I,C,A,I,N,N
N,O,E,B,N,E,E,Y,D,W,P,I,S,I,G,E,S,W,G,G,L
T,O,E,I,S,L,U,E,O,P,T,C,O,K,N,T,U,O,E,T,W
L,U,G,O,O,T,A,N,S,A,L,N,I,E,V,A,E,V,R,E,L
S,O,R,I,O,Y,K,O,R,D,A,L,J,Y,O,C,E,T,M,S,R
I,E,E,A,E,N,A,T,T,L,J,B,G,S,N,T,K,U,A,I,D
B,R,T,A,U,S,N,E,A,E,N,R,H,E,A,U,A,I,N,A,U
E,D,E,U,R,E,W,L,T,E,H,S,C,F,R,H,T,C,Y,N,O
S,L,L,N,C,A,T,L,W,T,I,O,I,I,T,A,L,P,G,A,I
C,I,R,N,E,H,I,D,E,W,N,S,A,A,F,M,N,K,E,E,R
I,E,O,E,H,I,D,I,E,N,J,P,E,O,I,T,O,E,I,O,I
Y,C,I,W,I,N,O,J,I,A,E,D,J,E,A,A,W,A,E,T,D
T,S,U,A,C,O,L,O,H,R,U,Y,O,R,J,H,I,M,I,E,N
